gameid,blue_league,blue_year,blue_split,blue_playoffs,blue_teamname,blue_side,blue_result,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,red_league,red_year,red_split,red_playoffs,red_teamname,red_side,red_result,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,blue_win
11715-11715_game_1,LPL,2025,Split 1,0,Weibo Gaming,Blue,1,Jayce,Poppy,Rumble,Rakan,Rell,Ashe,Aurora,Braum,K'Sante,Viego,LPL,2025,Split 1,0,Oh My God,Red,0,Skarner,Vi,Kalista,Xin Zhao,Wukong,Varus,Nocturne,Orianna,Neeko,Gnar,1
11715-11715_game_2,LPL,2025,Split 1,0,Oh My God,Blue,0,Caitlyn,Vi,Xin Zhao,Poppy,Alistar,Rumble,Rell,Jhin,Maokai,Ambessa,LPL,2025,Split 1,0,Weibo Gaming,Red,1,Kalista,Skarner,Corki,Sejuani,Yone,Jayce,Miss Fortune,Wukong,Rakan,Viktor,0
11715-11715_game_3,LPL,2025,Split 1,0,Oh My God,Blue,0,Vi,Caitlyn,Xin Zhao,Akali,Alistar,Leona,Zyra,Yone,Ziggs,Aatrox,LPL,2025,Split 1,0,Weibo Gaming,Red,1,Skarner,Kalista,Corki,Kai'Sa,Renekton,Jax,Sejuani,Jinx,Poppy,Sylas,0
11716-11716_game_1,LPL,2025,Split 1,0,LNG Esports,Blue,1,Galio,Nocturne,Varus,Corki,Miss Fortune,Kalista,Neeko,K'Sante,Pantheon,Vladimir,LPL,2025,Split 1,0,ThunderTalk Gaming,Red,0,Skarner,Ashe,Renata Glasc,Akali,Viktor,Rumble,Vi,Aurora,Ezreal,Leona,1
11716-11716_game_2,LPL,2025,Split 1,0,ThunderTalk Gaming,Blue,1,Jayce,Renata Glasc,Poppy,Xin Zhao,Jax,Wukong,Akali,Rakan,Gnar,Kai'Sa,LPL,2025,Split 1,0,LNG Esports,Red,0,Skarner,Ashe,Varus,Miss Fortune,Gragas,Corki,Rell,Taliyah,Renekton,Lee Sin,1
11716-11716_game_3,LPL,2025,Split 1,0,LNG Esports,Blue,0,Sejuani,Nocturne,Poppy,Udyr,Lulu,Ashe,Braum,Yone,Volibear,Jax,LPL,2025,Split 1,0,ThunderTalk Gaming,Red,1,Skarner,Renata Glasc,Ambessa,Zac,Zyra,Viktor,Xin Zhao,Varus,Karma,Gragas,0
11716-11716_game_4,LPL,2025,Split 1,0,LNG Esports,Blue,0,Udyr,Maokai,Caitlyn,Renata Glasc,Pyke,Ambessa,Sylas,Sejuani,Lulu,Twitch,LPL,2025,Split 1,0,ThunderTalk Gaming,Red,1,Skarner,Miss Fortune,Nocturne,Draven,Nautilus,Poppy,Azir,Viego,Jinx,Blitzcrank,0
11717-11717_game_1,LPL,2025,Split 1,0,Royal Never Give Up,Blue,0,Skarner,Nocturne,Varus,Wukong,Xin Zhao,Ashe,Braum,Viego,Jax,Orianna,LPL,2025,Split 1,0,FunPlus Phoenix,Red,1,Viktor,Corki,Rumble,Galio,Jayce,Neeko,K'Sante,Kalista,Aurora,Vi,0
11717-11717_game_2,LPL,2025,Split 1,0,Royal Never Give Up,Blue,1,Nocturne,Skarner,Galio,Leona,Rell,Varus,Ambessa,Nautilus,Akali,Lee Sin,LPL,2025,Split 1,0,FunPlus Phoenix,Red,0,Viktor,Corki,Rumble,LeBlanc,Kindred,Jayce,Miss Fortune,Wukong,Sylas,Rakan,1
11717-11717_game_3,LPL,2025,Split 1,0,FunPlus Phoenix,Blue,0,Viktor,LeBlanc,Galio,Kai'Sa,Jhin,Gnar,Rell,Jinx,Sejuani,Taliyah,LPL,2025,Split 1,0,Royal Never Give Up,Red,1,Skarner,Corki,Rumble,Yone,Tristana,Xin Zhao,Renekton,Ahri,Aphelios,Thresh,0
11717-11717_game_4,LPL,2025,Split 1,0,FunPlus Phoenix,Blue,0,Viktor,LeBlanc,Galio,Kai'Sa,Jhin,Corki,Leona,Nidalee,Udyr,Sivir,LPL,2025,Split 1,0,Royal Never Give Up,Red,1,Skarner,Ezreal,Rumble,Xayah,Ziggs,Yone,Karthus,Alistar,Tristana,Aatrox,0
LOLTMNT03_183532,LCK,2025,Cup,0,HANJIN BRION,Blue,1,Ashe,Varus,Aurora,Ambessa,Jax,Skarner,K'Sante,Yone,Miss Fortune,Rell,LCK,2025,Cup,0,Kiwoom DRX,Red,0,Kalista,Rumble,Azir,Ziggs,Kai'Sa,Viktor,Corki,Sejuani,Leona,Jayce,1
LOLTMNT03_183538,LCK,2025,Cup,0,Kiwoom DRX,Blue,1,Azir,Ashe,Varus,Nautilus,Caitlyn,Aurora,Wukong,Kai'Sa,Galio,Poppy,LCK,2025,Cup,0,HANJIN BRION,Red,0,Nocturne,Vi,Kalista,Ornn,Ambessa,Rumble,Viego,Taliyah,Rakan,Xayah,1
11718-11718_game_1,LPL,2025,Split 1,0,Ultra Prime,Blue,0,Orianna,Poppy,Kalista,Rakan,Jayce,Ashe,Braum,K'Sante,Wukong,Akali,LPL,2025,Split 1,0,Weibo Gaming,Red,1,Skarner,Rumble,Nocturne,Zyra,Viktor,Aurora,Vi,Varus,Rell,Ambessa,0
LOLTMNT03_183544,LCK,2025,Cup,0,HANJIN BRION,Blue,0,Nocturne,Lee Sin,LeBlanc,Orianna,Ornn,Varus,Nautilus,Renekton,Brand,Yasuo,LCK,2025,Cup,0,Kiwoom DRX,Red,1,Vi,Azir,Ashe,Nidalee,Zyra,Xin Zhao,Renata Glasc,Kalista,Gragas,Ambessa,0
11718-11718_game_2,LPL,2025,Split 1,0,Ultra Prime,Blue,1,Orianna,LeBlanc,Xin Zhao,Leona,Poppy,Kalista,Galio,Neeko,Sylas,Viego,LPL,2025,Split 1,0,Weibo Gaming,Red,0,Skarner,Zyra,Yone,Nocturne,Renata Glasc,Rumble,Viktor,Miss Fortune,Nautilus,Lee Sin,1
11718-11718_game_3,LPL,2025,Split 1,0,Weibo Gaming,Blue,1,Yone,Jayce,Nocturne,Jinx,Jhin,Corki,Rakan,Jax,Pantheon,Ahri,LPL,2025,Split 1,0,Ultra Prime,Red,0,Skarner,Orianna,Caitlyn,Sejuani,Zyra,Xin Zhao,Leona,Gragas,Ezreal,Taliyah,1
LOLTMNT03_183585,LCK,2025,Cup,0,DN SOOPers,Blue,1,Varus,Aurora,Corki,Leona,Nautilus,Kalista,Ambessa,Renata Glasc,Akali,Wukong,LCK,2025,Cup,0,Nongshim RedForce,Red,0,Skarner,Vi,K'Sante,Rumble,Maokai,Yone,Sejuani,Ziggs,Jayce,Alistar,1
11718-11718_game_4,LPL,2025,Split 1,0,Ultra Prime,Blue,0,Caitlyn,Draven,Jayce,Thresh,Renekton,Orianna,Kindred,Xayah,Udyr,Bard,LPL,2025,Split 1,0,Weibo Gaming,Red,1,Yone,Skarner,Maokai,Alistar,Ornn,Jinx,Nocturne,Syndra,Blitzcrank,Gnar,0
LOLTMNT03_182705,LCK,2025,Cup,0,Nongshim RedForce,Blue,1,Rumble,Poppy,Jax,Caitlyn,Varus,K'Sante,Viktor,Xin Zhao,Xayah,Rakan,LCK,2025,Cup,0,DN SOOPers,Red,0,Skarner,Vi,Corki,Ezreal,Ashe,Nocturne,Aurora,Orianna,Kai'Sa,Rell,1
